id,homonym,judge_meaning,suprisal_GPT2_large,average,sentence,modified_sentence
35,drive,hitting a golf ball off of a tee with a driver,3.392383575439453,2.0,The drive was a good distance.,The [hitting a golf ball off of a tee with a driver] drive was a good distance.
36,drive,a journey in a vehicle (usually an automobile),3.456455945968628,2.4,Her drive was what ultimately got her into the top university.,Her [a journey in a vehicle (usually an automobile)] drive was what ultimately got her into the top university.
37,drive,hitting a golf ball off of a tee with a driver,3.3661375045776367,1.0,Her drive was what ultimately got her into the top university.,Her [hitting a golf ball off of a tee with a driver] drive was what ultimately got her into the top university.
38,drive,a journey in a vehicle (usually an automobile),3.6639111042022705,1.6,Her drive was what ultimately got her into the top university.,Her [a journey in a vehicle (usually an automobile)] drive was what ultimately got her into the top university.
39,drive,hitting a golf ball off of a tee with a driver,3.3865389823913574,2.0,Her drive was what ultimately got her into the top university.,Her [hitting a golf ball off of a tee with a driver] drive was what ultimately got her into the top university.
40,drive,a journey in a vehicle (usually an automobile),3.7768168449401855,1.0,Her drive was what ultimately got her into the top university.,Her [a journey in a vehicle (usually an automobile)] drive was what ultimately got her into the top university.
41,drive,hitting a golf ball off of a tee with a driver,3.4743032455444336,1.2,Her drive was what ultimately got her into the top university.,Her [hitting a golf ball off of a tee with a driver] drive was what ultimately got her into the top university.
42,front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,3.369133234024048,3.6,The front was something to behold.,The [(meteorology) the atmospheric phenomenon created at the boundary between two different air masses] front was something to behold.
43,front,the side that is forward or prominent,3.3766775131225586,1.6,The front was something to behold.,The [the side that is forward or prominent] front was something to behold.
44,front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,3.4685416221618652,3.2,The front was something to behold.,The [(meteorology) the atmospheric phenomenon created at the boundary between two different air masses] front was something to behold.
45,front,the side that is forward or prominent,3.44126296043396,2.0,The front was something to behold.,The [the side that is forward or prominent] front was something to behold.
46,front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,3.373461961746216,4.4,The front was something to behold.,The [(meteorology) the atmospheric phenomenon created at the boundary between two different air masses] front was something to behold.
47,front,the side that is forward or prominent,3.3316128253936768,2.2,The front was something to behold.,The [the side that is forward or prominent] front was something to behold.
48,appendix,supplementary material that is collected and appended at the back of a book,3.024940013885498,4.6,"The appendix was so different, one could notice it instantly.","The [supplementary material that is collected and appended at the back of a book] appendix was so different, one could notice it instantly."
49,appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,3.1761672496795654,1.0,"The appendix was so different, one could notice it instantly.","The [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendix was so different, one could notice it instantly."
50,appendix,supplementary material that is collected and appended at the back of a book,3.100435495376587,2.4,"The appendix was so different, one could notice it instantly.","The [supplementary material that is collected and appended at the back of a book] appendix was so different, one could notice it instantly."
51,appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,3.164036273956299,3.4,"The appendix was so different, one could notice it instantly.","The [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendix was so different, one could notice it instantly."
52,appendix,supplementary material that is collected and appended at the back of a book,3.0981271266937256,3.4,"The appendix was so different, one could notice it instantly.","The [supplementary material that is collected and appended at the back of a book] appendix was so different, one could notice it instantly."
53,appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,3.2133238315582275,3.8,"The appendix was so different, one could notice it instantly.","The [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendix was so different, one could notice it instantly."
54,appendix,supplementary material that is collected and appended at the back of a book,2.9323718547821045,3.8,John was late completing the book because he had been having trouble with his appendix.,John was late completing the book because he had been having trouble with his [supplementary material that is collected and appended at the back of a book] appendix.
55,appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,3.0725643634796143,3.0,John was late completing the book because he had been having trouble with his appendix.,John was late completing the book because he had been having trouble with his [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendix.
56,appendix,supplementary material that is collected and appended at the back of a book,2.8206236362457275,2.0,John was late completing the book because he had been having trouble with his appendix.,John was late completing the book because he had been having trouble with his [supplementary material that is collected and appended at the back of a book] appendix.
57,appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,2.833942174911499,4.0,John was late completing the book because he had been having trouble with his appendix.,John was late completing the book because he had been having trouble with his [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendix.
58,appendix,supplementary material that is collected and appended at the back of a book,2.845391035079956,2.0,John was late completing the book because he had been having trouble with his appendix.,John was late completing the book because he had been having trouble with his [supplementary material that is collected and appended at the back of a book] appendix.
59,appendix,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,3.0119824409484863,2.6,John was late completing the book because he had been having trouble with his appendix.,John was late completing the book because he had been having trouble with his [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendix.
60,appendicitis,supplementary material that is collected and appended at the back of a book,3.009533405303955,1.8,The writer was struggling with his appendicitis.,The writer was struggling with his [supplementary material that is collected and appended at the back of a book] appendicitis.
61,appendicitis,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,3.1661388874053955,4.2,The writer was struggling with his appendicitis.,The writer was struggling with his [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendicitis.
62,appendicitis,supplementary material that is collected and appended at the back of a book,2.820647954940796,1.0,The writer was struggling with his appendicitis.,The writer was struggling with his [supplementary material that is collected and appended at the back of a book] appendicitis.
63,appendicitis,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,2.9728362560272217,5.0,The writer was struggling with his appendicitis.,The writer was struggling with his [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendicitis.
64,appendicitis,supplementary material that is collected and appended at the back of a book,2.974687337875366,1.2,The writer was struggling with his appendicitis.,The writer was struggling with his [supplementary material that is collected and appended at the back of a book] appendicitis.
65,appendicitis,a vestigial process that extends from the lower end of the cecum and that resembles a small pouch,3.1307475566864014,4.6,The writer was struggling with his appendicitis.,The writer was struggling with his [a vestigial process that extends from the lower end of the cecum and that resembles a small pouch] appendicitis.
66,temple,(Judaism) the place of worship for a Jewish congregation,3.303799867630005,4.4,Their temple glowed in the moonlight.,Their [(Judaism) the place of worship for a Jewish congregation] temple glowed in the moonlight.
67,temple,the flat area on either side of the forehead,3.334231376647949,2.0,Their temple glowed in the moonlight.,Their [the flat area on either side of the forehead] temple glowed in the moonlight.
68,temple,(Judaism) the place of worship for a Jewish congregation,3.4724156856536865,1.8,Their temple glowed in the moonlight.,Their [(Judaism) the place of worship for a Jewish congregation] temple glowed in the moonlight.
69,temple,the flat area on either side of the forehead,3.4220364093780518,3.6,Their temple glowed in the moonlight.,Their [the flat area on either side of the forehead] temple glowed in the moonlight.
70,temple,(Judaism) the place of worship for a Jewish congregation,3.3252174854278564,3.8,Their temple glowed in the moonlight.,Their [(Judaism) the place of worship for a Jewish congregation] temple glowed in the moonlight.
71,temple,the flat area on either side of the forehead,3.329293966293335,1.6,Their temple glowed in the moonlight.,Their [the flat area on either side of the forehead] temple glowed in the moonlight.
72,catch,a drawback or difficulty that is not readily evident,3.3119821548461914,3.8,He couldn't figure out the catch.,He couldn't figure out the [a drawback or difficulty that is not readily evident] catch.
73,catch,the quantity that was caught,3.2495596408843994,2.2,He couldn't figure out the catch.,He couldn't figure out the [the quantity that was caught] catch.
74,catch,a drawback or difficulty that is not readily evident,3.3174242973327637,4.0,He couldn't figure out the catch.,He couldn't figure out the [a drawback or difficulty that is not readily evident] catch.
75,catch,the quantity that was caught,3.197270631790161,2.0,He couldn't figure out the catch.,He couldn't figure out the [the quantity that was caught] catch.
76,catch,a drawback or difficulty that is not readily evident,3.4692792892456055,4.2,He couldn't figure out the catch.,He couldn't figure out the [a drawback or difficulty that is not readily evident] catch.
77,catch,the quantity that was caught,3.3469741344451904,1.0,He couldn't figure out the catch.,He couldn't figure out the [the quantity that was caught] catch.
78,cleanly,in an adroit manner,3.3561062812805176,3.0,"He exited the competition cleanly, impressing both the judges and the organizers.","He exited the competition [in an adroit manner] cleanly, impressing both the judges and the organizers."
79,cleanly,in a manner that minimizes dirt and pollution,3.396591901779175,1.8,"He exited the competition cleanly, impressing both the judges and the organizers.","He exited the competition [in a manner that minimizes dirt and pollution] cleanly, impressing both the judges and the organizers."
80,cleanly,in an adroit manner,3.42846941947937,4.6,"He exited the competition cleanly, impressing both the judges and the organizers.","He exited the competition [in an adroit manner] cleanly, impressing both the judges and the organizers."
81,cleanly,in a manner that minimizes dirt and pollution,3.4197893142700195,2.0,"He exited the competition cleanly, impressing both the judges and the organizers.","He exited the competition [in a manner that minimizes dirt and pollution] cleanly, impressing both the judges and the organizers."
82,cleanly,in an adroit manner,3.5299642086029053,4.6,"He exited the competition cleanly, impressing both the judges and the organizers.","He exited the competition [in an adroit manner] cleanly, impressing both the judges and the organizers."
83,cleanly,in a manner that minimizes dirt and pollution,3.562239170074463,1.6,"He exited the competition cleanly, impressing both the judges and the organizers.","He exited the competition [in a manner that minimizes dirt and pollution] cleanly, impressing both the judges and the organizers."
84,cleanly,in an adroit manner,3.437364339828491,4.6,"She sliced through the fabric cleanly, leaving no mess behind.","She sliced through the fabric [in an adroit manner] cleanly, leaving no mess behind."
85,cleanly,in a manner that minimizes dirt and pollution,3.4329140186309814,2.2,"She sliced through the fabric cleanly, leaving no mess behind.","She sliced through the fabric [in a manner that minimizes dirt and pollution] cleanly, leaving no mess behind."
86,cleanly,in an adroit manner,3.343700647354126,4.6,"She sliced through the fabric cleanly, leaving no mess behind.","She sliced through the fabric [in an adroit manner] cleanly, leaving no mess behind."
87,cleanly,in a manner that minimizes dirt and pollution,3.3418920040130615,2.6,"She sliced through the fabric cleanly, leaving no mess behind.","She sliced through the fabric [in a manner that minimizes dirt and pollution] cleanly, leaving no mess behind."
88,cleanly,in an adroit manner,3.5399534702301025,4.8,"She sliced through the fabric cleanly, leaving no mess behind.","She sliced through the fabric [in an adroit manner] cleanly, leaving no mess behind."
89,cleanly,in a manner that minimizes dirt and pollution,3.5400795936584473,2.6,"She sliced through the fabric cleanly, leaving no mess behind.","She sliced through the fabric [in a manner that minimizes dirt and pollution] cleanly, leaving no mess behind."
90,cleanly,in an adroit manner,3.1063883304595947,3.8,They tried to share and serve the food as cleanly as possible.,They tried to share and serve the food as [in an adroit manner] cleanly as possible.
91,cleanly,in a manner that minimizes dirt and pollution,3.1687183380126953,4.4,They tried to share and serve the food as cleanly as possible.,They tried to share and serve the food as [in a manner that minimizes dirt and pollution] cleanly as possible.
92,cleanly,in an adroit manner,3.247457504272461,2.6,They tried to share and serve the food as cleanly as possible.,They tried to share and serve the food as [in an adroit manner] cleanly as possible.
93,cleanly,in a manner that minimizes dirt and pollution,3.287975549697876,4.833333333333333,They tried to share and serve the food as cleanly as possible.,They tried to share and serve the food as [in a manner that minimizes dirt and pollution] cleanly as possible.
94,cleanly,in an adroit manner,3.088270902633667,2.6,They tried to share and serve the food as cleanly as possible.,They tried to share and serve the food as [in an adroit manner] cleanly as possible.
95,cleanly,in a manner that minimizes dirt and pollution,3.1458230018615723,4.0,They tried to share and serve the food as cleanly as possible.,They tried to share and serve the food as [in a manner that minimizes dirt and pollution] cleanly as possible.
96,withdrawal,the act of taking out money or other capital,3.0670955181121826,4.6,"After the sudden withdrawal, he felt anxious and unsteady all day.","After the sudden [the act of taking out money or other capital] withdrawal, he felt anxious and unsteady all day."
97,withdrawal,the termination of drug taking,3.203545093536377,1.8,"After the sudden withdrawal, he felt anxious and unsteady all day.","After the sudden [the termination of drug taking] withdrawal, he felt anxious and unsteady all day."
98,withdrawal,the act of taking out money or other capital,3.146857500076294,1.6,"After the sudden withdrawal, he felt anxious and unsteady all day.","After the sudden [the act of taking out money or other capital] withdrawal, he felt anxious and unsteady all day."
99,withdrawal,the termination of drug taking,3.193716526031494,3.4,"After the sudden withdrawal, he felt anxious and unsteady all day.","After the sudden [the termination of drug taking] withdrawal, he felt anxious and unsteady all day."
100,withdrawal,the act of taking out money or other capital,3.1262176036834717,2.6,"After the sudden withdrawal, he felt anxious and unsteady all day.","After the sudden [the act of taking out money or other capital] withdrawal, he felt anxious and unsteady all day."
101,withdrawal,the termination of drug taking,3.2105562686920166,3.2,"After the sudden withdrawal, he felt anxious and unsteady all day.","After the sudden [the termination of drug taking] withdrawal, he felt anxious and unsteady all day."
102,withdrawal,the act of taking out money or other capital,3.0782153606414795,4.6,The withdrawal was really difficult.,The [the act of taking out money or other capital] withdrawal was really difficult.
103,withdrawal,the termination of drug taking,3.250288724899292,1.8,The withdrawal was really difficult.,The [the termination of drug taking] withdrawal was really difficult.
104,withdrawal,the act of taking out money or other capital,3.0119311809539795,2.6,The withdrawal was really difficult.,The [the act of taking out money or other capital] withdrawal was really difficult.
105,withdrawal,the termination of drug taking,3.0078012943267822,3.2,The withdrawal was really difficult.,The [the termination of drug taking] withdrawal was really difficult.
106,withdrawal,the act of taking out money or other capital,3.1367132663726807,2.0,The withdrawal was really difficult.,The [the act of taking out money or other capital] withdrawal was really difficult.
107,withdrawal,the termination of drug taking,3.191514730453491,2.4,The withdrawal was really difficult.,The [the termination of drug taking] withdrawal was really difficult.
108,joke,a humorous anecdote or remark intended to provoke laughter,3.6952526569366455,4.2,She thought that this was one big joke.,She thought that this was one big [a humorous anecdote or remark intended to provoke laughter] joke.
109,joke,a triviality not to be taken seriously,3.5512876510620117,4.4,She thought that this was one big joke.,She thought that this was one big [a triviality not to be taken seriously] joke.
110,joke,a humorous anecdote or remark intended to provoke laughter,3.6321396827697754,3.2,She thought that this was one big joke.,She thought that this was one big [a humorous anecdote or remark intended to provoke laughter] joke.
111,joke,a triviality not to be taken seriously,3.4863288402557373,4.2,She thought that this was one big joke.,She thought that this was one big [a triviality not to be taken seriously] joke.
112,joke,a humorous anecdote or remark intended to provoke laughter,3.824381113052368,3.4,She thought that this was one big joke.,She thought that this was one big [a humorous anecdote or remark intended to provoke laughter] joke.
113,joke,a triviality not to be taken seriously,3.6359198093414307,4.2,She thought that this was one big joke.,She thought that this was one big [a triviality not to be taken seriously] joke.
114,landing,an intermediate platform in a staircase,3.5626907348632812,3.0,The landing was rough.,The [an intermediate platform in a staircase] landing was rough.
115,landing,the act of coming down to the earth (or other surface),3.4832868576049805,2.2,The landing was rough.,The [the act of coming down to the earth (or other surface)] landing was rough.
116,landing,an intermediate platform in a staircase,3.4848904609680176,3.0,The landing was rough.,The [an intermediate platform in a staircase] landing was rough.
117,landing,the act of coming down to the earth (or other surface),3.3975610733032227,2.8,The landing was rough.,The [the act of coming down to the earth (or other surface)] landing was rough.
118,landing,an intermediate platform in a staircase,3.9010376930236816,4.0,The landing was rough.,The [an intermediate platform in a staircase] landing was rough.
119,landing,the act of coming down to the earth (or other surface),3.7606003284454346,3.2,The landing was rough.,The [the act of coming down to the earth (or other surface)] landing was rough.
120,faults,the quality of being inadequate or falling short of perfection,3.2367851734161377,4.0,The Earth has many faults.,The Earth has many [the quality of being inadequate or falling short of perfection] faults.
121,faults,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other,3.2820844650268555,2.0,The Earth has many faults.,The Earth has many [(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other] faults.
122,faults,the quality of being inadequate or falling short of perfection,3.2290492057800293,4.8,The Earth has many faults.,The Earth has many [the quality of being inadequate or falling short of perfection] faults.
123,faults,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other,3.2844018936157227,2.6,The Earth has many faults.,The Earth has many [(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other] faults.
124,faults,the quality of being inadequate or falling short of perfection,3.2014479637145996,3.0,The Earth has many faults.,The Earth has many [the quality of being inadequate or falling short of perfection] faults.
125,faults,(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other,3.184664011001587,3.8,The Earth has many faults.,The Earth has many [(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other] faults.
126,degree,an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study,3.2578125,4.8,He has to work extremely hard to reach the highest degree in his field.,He has to work extremely hard to reach the highest [an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study] degree in his field.
127,degree,a position on a scale of intensity or amount or quality,3.637904644012451,2.6,He has to work extremely hard to reach the highest degree in his field.,He has to work extremely hard to reach the highest [a position on a scale of intensity or amount or quality] degree in his field.
128,degree,an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study,3.3088266849517822,2.6,He has to work extremely hard to reach the highest degree in his field.,He has to work extremely hard to reach the highest [an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study] degree in his field.
129,degree,a position on a scale of intensity or amount or quality,3.720376491546631,3.4,He has to work extremely hard to reach the highest degree in his field.,He has to work extremely hard to reach the highest [a position on a scale of intensity or amount or quality] degree in his field.
130,degree,an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study,3.3251936435699463,3.8,He has to work extremely hard to reach the highest degree in his field.,He has to work extremely hard to reach the highest [an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study] degree in his field.
131,degree,a position on a scale of intensity or amount or quality,3.7783875465393066,2.8,He has to work extremely hard to reach the highest degree in his field.,He has to work extremely hard to reach the highest [a position on a scale of intensity or amount or quality] degree in his field.
132,tick,a metallic tapping sound,3.3660976886749268,4.4,He was up all night because of the tick.,He was up all night because of the [a metallic tapping sound] tick.
133,tick,any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals,3.425365447998047,1.5,He was up all night because of the tick.,He was up all night because of the [any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals] tick.
134,tick,a metallic tapping sound,3.4912781715393066,2.6,He was up all night because of the tick.,He was up all night because of the [a metallic tapping sound] tick.
135,tick,any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals,3.410935878753662,4.6,He was up all night because of the tick.,He was up all night because of the [any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals] tick.
136,tick,a metallic tapping sound,3.510429859161377,3.4,He was up all night because of the tick.,He was up all night because of the [a metallic tapping sound] tick.
137,tick,any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals,3.5193889141082764,1.8,He was up all night because of the tick.,He was up all night because of the [any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals] tick.
138,palms,the inner surface of the hand from the wrist to the base of the fingers,3.527357578277588,1.8,She took a photo of the palms.,She took a photo of the [the inner surface of the hand from the wrist to the base of the fingers] palms.
139,palms,any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves,3.777979850769043,4.4,She took a photo of the palms.,She took a photo of the [any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves] palms.
140,palms,the inner surface of the hand from the wrist to the base of the fingers,3.552128314971924,1.0,She took a photo of the palms.,She took a photo of the [the inner surface of the hand from the wrist to the base of the fingers] palms.
141,palms,any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves,3.8396852016448975,5.0,She took a photo of the palms.,She took a photo of the [any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves] palms.
142,palms,the inner surface of the hand from the wrist to the base of the fingers,3.470050573348999,2.4,She took a photo of the palms.,She took a photo of the [the inner surface of the hand from the wrist to the base of the fingers] palms.
143,palms,any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves,3.81079363822937,4.2,She took a photo of the palms.,She took a photo of the [any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves] palms.
144,class,a body of students who are taught together,3.2680258750915527,1.8,"When attending the function at the stately home, she noticed the class of people there.","When attending the function at the stately home, she noticed the [a body of students who are taught together] class of people there."
145,class,elegance in dress or behavior,3.2339847087860107,3.4,"When attending the function at the stately home, she noticed the class of people there.","When attending the function at the stately home, she noticed the [elegance in dress or behavior] class of people there."
146,class,a body of students who are taught together,3.7410998344421387,1.4,"When attending the function at the stately home, she noticed the class of people there.","When attending the function at the stately home, she noticed the [a body of students who are taught together] class of people there."
147,class,elegance in dress or behavior,3.5927066802978516,4.4,"When attending the function at the stately home, she noticed the class of people there.","When attending the function at the stately home, she noticed the [elegance in dress or behavior] class of people there."
148,class,a body of students who are taught together,3.775773286819458,1.8,"When attending the function at the stately home, she noticed the class of people there.","When attending the function at the stately home, she noticed the [a body of students who are taught together] class of people there."
149,class,elegance in dress or behavior,3.6471521854400635,3.8,"When attending the function at the stately home, she noticed the class of people there.","When attending the function at the stately home, she noticed the [elegance in dress or behavior] class of people there."
150,class,a body of students who are taught together,3.330502510070801,4.6,The teacher's class was known for being distinguished.,The teacher's [a body of students who are taught together] class was known for being distinguished.
151,class,elegance in dress or behavior,3.41754412651062,2.2,The teacher's class was known for being distinguished.,The teacher's [elegance in dress or behavior] class was known for being distinguished.
152,class,a body of students who are taught together,3.392240047454834,3.0,The teacher's class was known for being distinguished.,The teacher's [a body of students who are taught together] class was known for being distinguished.
153,class,elegance in dress or behavior,3.4189701080322266,2.6,The teacher's class was known for being distinguished.,The teacher's [elegance in dress or behavior] class was known for being distinguished.
154,class,a body of students who are taught together,3.3844993114471436,4.0,The teacher's class was known for being distinguished.,The teacher's [a body of students who are taught together] class was known for being distinguished.
155,class,elegance in dress or behavior,3.4990532398223877,1.6,The teacher's class was known for being distinguished.,The teacher's [elegance in dress or behavior] class was known for being distinguished.
156,speakers,someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous),3.926180839538574,4.6,The speakers are too loud.,The [someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)] speakers are too loud.
157,speakers,electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance,3.2371013164520264,3.0,The speakers are too loud.,The [electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance] speakers are too loud.
