precontext,sentence,ending,judged_meaning,example_sentence,text_only,meaning_only,text_plus_expl
"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",,installation from which a military force initiates operations,The troops strategized at their forward base.,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base.",installation from which a military force initiates operations,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. Explanation: installation from which a military force initiates operations"
"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents.","The soldiers were playing a bat and ball game, which involved them running towards the base.",,a place that the runner must touch before scoring,He slid into third base safely.,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base.",a place that the runner must touch before scoring,"The troops were stationed at a remote camp for training. To pass the time, they often engaged in recreational sports. One afternoon, they decided to play a game on the field next to their tents. The soldiers were playing a bat and ball game, which involved them running towards the base. Explanation: a place that the runner must touch before scoring"
"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.","Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.","to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",Her ambition drives her to succeed.,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.","to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present. Explanation: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly"
"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.","Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.",operate or control a vehicle,I will drive to the store.,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present.",operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Just for once, she wished that her friends would plan a get-together or adventure, and she could enjoy being present. Explanation: operate or control a vehicle"
"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",Poppy would be the one to take them from their houses to events and restaurants.,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",Her ambition drives her to succeed.,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Poppy would be the one to take them from their houses to events and restaurants.","to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Poppy would be the one to take them from their houses to events and restaurants. Explanation: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly"
"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",Poppy would be the one to take them from their houses to events and restaurants.,operate or control a vehicle,I will drive to the store.,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Poppy would be the one to take them from their houses to events and restaurants.",operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Poppy would be the one to take them from their houses to events and restaurants. Explanation: operate or control a vehicle"
"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",Her ambition drives her to succeed.,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't.","to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Explanation: to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly"
"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt.","Poppy was always driving her friends, although they wished she wouldn't.",,operate or control a vehicle,I will drive to the store.,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't.",operate or control a vehicle,"Poppy had a unique impact on her friends. They often found themselves doing things they never planned to do. Her enthusiasm was hard to resist, no matter how hesitant they felt. Poppy was always driving her friends, although they wished she wouldn't. Explanation: operate or control a vehicle"
John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",a journey in a vehicle (usually an automobile),"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day. Explanation: a journey in a vehicle (usually an automobile)"
John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day.",hitting a golf ball off of a tee with a driver,"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. He started the car, and the engine roared to life. He sped off down the country lanes into the sunset; he'd been waiting for this moment all day. Explanation: hitting a golf ball off of a tee with a driver"
John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",a journey in a vehicle (usually an automobile),"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games. Explanation: a journey in a vehicle (usually an automobile)"
John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,"As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games.",hitting a golf ball off of a tee with a driver,"John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. As he settled into his car, he couldn't help but think about the satisfying feeling of sending the ball soaring down the fairway during his weekend games. Explanation: hitting a golf ball off of a tee with a driver"
John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day.,a journey in a vehicle (usually an automobile),John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. Explanation: a journey in a vehicle (usually an automobile)
John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag.,He was ready to drive after a long day.,,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day.,hitting a golf ball off of a tee with a driver,John glanced at his watch and sighed. It had been a busy afternoon filled with back-to-back meetings. The evening sky was beginning to darken as he packed up his bag. He was ready to drive after a long day. Explanation: hitting a golf ball off of a tee with a driver
"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,He put on his driving gloves and was ready.,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. He put on his driving gloves and was ready.",a journey in a vehicle (usually an automobile),"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. He put on his driving gloves and was ready. Explanation: a journey in a vehicle (usually an automobile)"
"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,He put on his driving gloves and was ready.,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. He put on his driving gloves and was ready.",hitting a golf ball off of a tee with a driver,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. He put on his driving gloves and was ready. Explanation: hitting a golf ball off of a tee with a driver"
"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,Tom was proud of how his golf game was going.,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. Tom was proud of how his golf game was going.",a journey in a vehicle (usually an automobile),"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. Tom was proud of how his golf game was going. Explanation: a journey in a vehicle (usually an automobile)"
"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,Tom was proud of how his golf game was going.,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. Tom was proud of how his golf game was going.",hitting a golf ball off of a tee with a driver,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. Tom was proud of how his golf game was going. Explanation: hitting a golf ball off of a tee with a driver"
"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive.",a journey in a vehicle (usually an automobile),"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. Explanation: a journey in a vehicle (usually an automobile)"
"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead.",That was a good drive.,,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive.",hitting a golf ball off of a tee with a driver,"Tom woke up early that morning. He had been looking forward to today for weeks. As he got ready, he couldn't stop thinking about what lay ahead. That was a good drive. Explanation: hitting a golf ball off of a tee with a driver"
Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,"After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day.",a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day.",a journey in a vehicle (usually an automobile),"Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day. Explanation: a journey in a vehicle (usually an automobile)"
Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,"After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day.",hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day.",hitting a golf ball off of a tee with a driver,"Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. After hours on the road, Jack finally arrived at his destination, ready to face the challenges of the day. Explanation: hitting a golf ball off of a tee with a driver"
Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,He was excited to see how far he could hit the ball.,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. He was excited to see how far he could hit the ball.,a journey in a vehicle (usually an automobile),Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. He was excited to see how far he could hit the ball. Explanation: a journey in a vehicle (usually an automobile)
Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,He was excited to see how far he could hit the ball.,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. He was excited to see how far he could hit the ball.,hitting a golf ball off of a tee with a driver,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. He was excited to see how far he could hit the ball. Explanation: hitting a golf ball off of a tee with a driver
Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance.,a journey in a vehicle (usually an automobile),Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. Explanation: a journey in a vehicle (usually an automobile)
Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience.,The drive was a good distance.,,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance.,hitting a golf ball off of a tee with a driver,Jack packed his bags and left the house early. The weather was perfect for the day ahead. He was eager to test his skills and patience. The drive was a good distance. Explanation: hitting a golf ball off of a tee with a driver
"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,"She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her.",a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her.",a journey in a vehicle (usually an automobile),"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her. Explanation: a journey in a vehicle (usually an automobile)"
"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,"She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her.",hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her.",hitting a golf ball off of a tee with a driver,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She made that long trip to show the course coordinators her dedication to going to that university, and they said that was one of the reasons why they accepted her. Explanation: hitting a golf ball off of a tee with a driver"
"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,She felt immensely proud of herself.,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She felt immensely proud of herself.",a journey in a vehicle (usually an automobile),"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She felt immensely proud of herself. Explanation: a journey in a vehicle (usually an automobile)"
"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,She felt immensely proud of herself.,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She felt immensely proud of herself.",hitting a golf ball off of a tee with a driver,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. She felt immensely proud of herself. Explanation: hitting a golf ball off of a tee with a driver"
"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,,a journey in a vehicle (usually an automobile),Let's take a drive through the countryside.,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university.",a journey in a vehicle (usually an automobile),"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. Explanation: a journey in a vehicle (usually an automobile)"
"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday.",Her drive was what ultimately got her into the top university.,,hitting a golf ball off of a tee with a driver,He hit a long drive down the fairway.,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university.",hitting a golf ball off of a tee with a driver,"Lisa had always been competitive. Every weekend, she dedicated herself to her passion. She believed that her relentless practice would pay off someday. Her drive was what ultimately got her into the top university. Explanation: hitting a golf ball off of a tee with a driver"
